"Es_Params","Request","Expected_1","Expected_2","Expected_3","Expected_4","Expected_5","countResults","Actual_Rank1","Actual_Rank2","Actual_Rank3","Actual_Rank4","Actual_Rank5","url_0","url_1","url_2","url_3","url_4","url_5","url_6","url_7","url_8","url_9","url_10","url_11","url_12","url_13","url_14","url_15","url_16","url_17","url_18","url_19","prevScore","score","diffScore"
"Defaultl","rupture conventionnelle","https://www.service-public.fr/particuliers/vosdroits/F19030","","","","","1/1",1,"","","","","https://www.service-public.fr/particuliers/vosdroits/F19030","themes/la-rupture-conventionnelle","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-la-rupture-conventionnelle-collective-est-elle-mise-en-oeuvre-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Quel-est-le-suivi-de-mise-en-oeuvre-de-l-accord-de-rupture-conventionnelle-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-est-mise-en-place-la-rupture-conventionnelle-collective-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#L-accord-de-rupture-conventionnelle-collective-peut-il-etre-conteste-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#En-quoi-consiste-la-rupture-conventionnelle","modeles_de_courriers/demande-de-rendez-vous-en-vue-dune-rupture-conventionnelle","themes/quest-ce-que-la-rupture-conventionnelle-collective","themes/quest-ce-que-la-rupture-conventionnelle-collective","themes/une-des-parties-peut-elle-refuser-la-rupture-conventionnelle","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#L-obligation-de-revitalisation-des-territoires-s-applique-t-elle-dans-le-nbsp","themes/a-t-on-droit-au-chomage-apres-une-rupture-conventionnelle","https://www.service-public.fr/professionnels-entreprises/vosdroits/F23261","faq/la-rupture-conventionnelle-une-modalite-de-rupture-a-lamiable-du-contrat-de-travail-a-duree-indeterminee","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Quel-est-le-contenu-de-la-convention","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Quelle-est-la-procedure","themes/rupture-de-contrat","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Quelles-sont-les-indemnites-dues-au-salarie","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Les-salaries-sont-ils-concernes",1,1,0
"Defaultl","rupture conventionnelle individuelle","https://www.service-public.fr/particuliers/vosdroits/F19030","","","","","1/1",1,"","","","","https://www.service-public.fr/particuliers/vosdroits/F19030","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-est-mise-en-place-la-rupture-conventionnelle-collective-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#En-quoi-consiste-la-rupture-conventionnelle","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036439615&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036439607&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/dialogue-social/le-comite-social-et-economique/article/la-protection-en-cas-de-licenciement#Quels-sont-les-salaries-proteges","https://travail-emploi.gouv.fr/droit-du-travail/le-particulier-employeur/article/les-droits-et-obligations-des-salaries-du-particulier-employeur#Beneficier-d-un-certain-nombre-de-garanties-en-cas-de-rupture-du-contrat-de-nbsp","https://www.service-public.fr/particuliers/vosdroits/F2360","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-procedure-en-cas-de-licenciement-individuel-pour-motif-economique#Comment-est-notifie-le-licenciement","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000024777415&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/droit-du-travail/la-remuneration/article/la-remuneration-du-salarie-en-contrat-a-duree-determinee#Le-salarie-a-t-il-droit-a-une-indemnite-de-fin-de-contrat","https://www.service-public.fr/particuliers/vosdroits/F107","https://www.service-public.fr/particuliers/vosdroits/F1972","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-contrat-a-duree-determinee-cdd#L-embauche-sous-contrat-a-duree-determinee","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000033747923&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036484024&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/emploi/accompagnement-des-mutations-economiques/csp#Quelle-est-la-procedure","https://travail-emploi.gouv.fr/droit-du-travail/handicap-et-travail/article/les-etablissements-ou-services-d-aide-par-le-travail#Mise-a-disposition-d-une-entreprise","https://travail-emploi.gouv.fr/droit-du-travail/la-vie-du-contrat-de-travail/article/la-modification-du-contrat-de-travail#Le-salarie-dispose-t-il-d-un-delai-pour-refuser-la-modification-du-contrat-nbsp","https://www.service-public.fr/professionnels-entreprises/vosdroits/F24648",1,1,0
"Defaultl","rupture conventionnelle individuelle indemnité de rupture","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Quelles-sont-les-indemnites-dues-au-salarie","https://www.service-public.fr/particuliers/vosdroits/F19030","https://www.telerc.travail.gouv.fr/RuptureConventionnellePortailPublic/jsp/site/Portal.jsp?page_id=14","","","1/3","",1,"","","","https://www.service-public.fr/particuliers/vosdroits/F19030","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-est-mise-en-place-la-rupture-conventionnelle-collective-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#En-quoi-consiste-la-rupture-conventionnelle","https://travail-emploi.gouv.fr/droit-du-travail/le-particulier-employeur/article/les-droits-et-obligations-des-salaries-du-particulier-employeur#Beneficier-d-un-certain-nombre-de-garanties-en-cas-de-rupture-du-contrat-de-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-remuneration/article/la-remuneration-du-salarie-en-contrat-a-duree-determinee#Le-salarie-a-t-il-droit-a-une-indemnite-de-fin-de-contrat","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-procedure-en-cas-de-licenciement-individuel-pour-motif-economique#Comment-est-notifie-le-licenciement","https://travail-emploi.gouv.fr/emploi/accompagnement-des-mutations-economiques/csp#Quelle-est-la-procedure","https://www.service-public.fr/professionnels-entreprises/vosdroits/F24648","https://travail-emploi.gouv.fr/droit-du-travail/la-vie-du-contrat-de-travail/article/la-modification-du-contrat-de-travail#Le-salarie-dispose-t-il-d-un-delai-pour-refuser-la-modification-du-contrat-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-contrat-a-duree-determinee-cdd#L-embauche-sous-contrat-a-duree-determinee","","","","","","","","","","",0,0.3,0.3
"Defaultl","rupture conventionnelle collective","https://www.service-public.fr/professionnels-entreprises/vosdroits/F23261","","","","","1/1",10,"","","","","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-la-rupture-conventionnelle-collective-est-elle-mise-en-oeuvre-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#L-accord-de-rupture-conventionnelle-collective-peut-il-etre-conteste-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-est-mise-en-place-la-rupture-conventionnelle-collective-nbsp","https://www.service-public.fr/particuliers/vosdroits/F19030","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Quel-est-le-suivi-de-mise-en-oeuvre-de-l-accord-de-rupture-conventionnelle-nbsp","themes/quest-ce-que-la-rupture-conventionnelle-collective","themes/quest-ce-que-la-rupture-conventionnelle-collective","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#L-obligation-de-revitalisation-des-territoires-s-applique-t-elle-dans-le-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#En-quoi-consiste-la-rupture-conventionnelle","https://www.service-public.fr/professionnels-entreprises/vosdroits/F23261","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623974&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623984&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036498303&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036242037&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623969&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Quelles-sont-les-indemnites-dues-au-salarie","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036261915&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623976&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623986&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623994&cidTexte=LEGITEXT000006072050",0,0.09999999999999998,0.09999999999999998
"Defaultl","rupture conventionnelle collective comment le contester ?","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623986&cidTexte=LEGITEXT000006072050","","","","","1/1",9,"","","","","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-la-rupture-conventionnelle-collective-est-elle-mise-en-oeuvre-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Comment-est-mise-en-place-la-rupture-conventionnelle-collective-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#L-accord-de-rupture-conventionnelle-collective-peut-il-etre-conteste-nbsp","https://www.service-public.fr/particuliers/vosdroits/F19030","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-collective#Quel-est-le-suivi-de-mise-en-oeuvre-de-l-accord-de-rupture-conventionnelle-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#En-quoi-consiste-la-rupture-conventionnelle","https://www.service-public.fr/professionnels-entreprises/vosdroits/F23261","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623974&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623986&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-rupture-conventionnelle-du-contrat-de-travail-a-duree-indeterminee#Quelles-sont-les-indemnites-dues-au-salarie","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623990&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000035623936&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036248524&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036439615&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/droit-du-travail/le-particulier-employeur/article/les-droits-et-obligations-des-salaries-du-particulier-employeur#Beneficier-d-un-certain-nombre-de-garanties-en-cas-de-rupture-du-contrat-de-nbsp","https://www.service-public.fr/particuliers/vosdroits/F408","https://travail-emploi.gouv.fr/droit-du-travail/les-conges-payes-et-les-conges-pour-projets-pro-et-perso/article/le-compte-epargne-temps-cet#Quelle-est-la-situation-en-cas-de-rupture-du-contrat-de-travail-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/le-reglement-des-conflits-individuels-et-collectifs/article/le-conseil-de-prud-hommes#Comment-se-deroule-une-procedure","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000036439607&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/dialogue-social/le-comite-social-et-economique/article/la-protection-en-cas-de-licenciement#Quels-sont-les-salaries-proteges",0,0.19999999999999996,0.19999999999999996
"Defaultl","auto entrepreneur","https://www.service-public.fr/professionnels-entreprises/vosdroits/F23264","","","","","0/1","","","","","","https://www.service-public.fr/particuliers/vosdroits/F843","https://travail-emploi.gouv.fr/emploi/creation-ou-reprise-d-activite/article/cumul-des-revenus-en-cas-de-creation-ou-de-reprise-d-entreprise#Quels-sont-les-dispositifs-pour-les-beneficiaires-de-l-allocation-assurance-nbsp","https://www.service-public.fr/particuliers/vosdroits/F32457","https://www.service-public.fr/particuliers/vosdroits/F1648","https://www.service-public.fr/particuliers/vosdroits/F18075","https://travail-emploi.gouv.fr/sante-au-travail/prevention-des-risques-pour-la-sante-au-travail/autres-dangers-et-risques/article/risques-chimiques-reach#Sources-reglementaires","https://travail-emploi.gouv.fr/sante-au-travail/prevention-des-risques-pour-la-sante-au-travail/autres-dangers-et-risques/article/risques-chimiques-reach#Donnees-generales","https://travail-emploi.gouv.fr/sante-au-travail/prevention-des-risques-pour-la-sante-au-travail/autres-dangers-et-risques/article/risques-chimiques-reach#Pour-en-savoir-plus","https://www.service-public.fr/particuliers/vosdroits/F12415","https://www.service-public.fr/particuliers/vosdroits/F20367","https://www.service-public.fr/particuliers/vosdroits/F33835","https://www.service-public.fr/particuliers/vosdroits/F13893","https://travail-emploi.gouv.fr/archives/archives-courantes/article/5-questions-reponses-sur-les-stages-en-entreprise#Question-3-Avez-vous-droit-a-des-jours-de-conge","https://travail-emploi.gouv.fr/archives/archives-courantes/article/5-questions-reponses-sur-les-stages-en-entreprise#Question-1-Que-doit-prevoir-votre-convention-de-stage","https://www.service-public.fr/particuliers/vosdroits/F2857","https://travail-emploi.gouv.fr/emploi/mesures-jeunes/article/les-stages-etudiants-en-milieu-professionnel#Quel-est-le-statut-du-stagiaire-dans-l-entreprise-d-accueil-nbsp","https://www.service-public.fr/particuliers/vosdroits/F2941","faq/comment-doit-etre-traite-le-refus-dun-salarie-protege-de-se-voir-appliquer-un-apc-le-licenciement-doit-il-faire-lobjet-dune-autorisation-de-linspection-du-travail","https://www.service-public.fr/particuliers/vosdroits/F2344","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000025588601&cidTexte=LEGITEXT000006072050",0,0,0
"Defaultl","lettre de demission","http://travail-emploi.gouv.fr/droit-du-travail/rupture-de-contrats/demission/article/la-demission#Comment-presenter-une-demission","https://www.service-public.fr/particuliers/vosdroits/F2883","https://www.service-public.fr/particuliers/vosdroits/F31209","","","1/3","",1,"","","","https://www.service-public.fr/particuliers/vosdroits/F2883","https://www.service-public.fr/particuliers/vosdroits/F33164","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-demission#Comment-presenter-une-demission","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-demission#L-absence-prolongee-du-salarie-est-elle-une-demission","https://www.service-public.fr/particuliers/vosdroits/F32431","https://www.service-public.fr/particuliers/vosdroits/F131","https://www.service-public.fr/particuliers/vosdroits/F513","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-demission#Faut-il-respecter-un-preavis","https://www.service-public.fr/particuliers/vosdroits/F89","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-demission#Quelle-est-la-situation-du-salarie-a-la-fin-du-contrat","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/la-demission#Le-salarie-peut-il-dans-le-cadre-d-un-contrat-a-duree-determinee-nbsp","faq/dans-les-hcr-quel-est-le-preavis-de-demission","faq/joccupe-un-poste-de-vendeuse-en-boulangerie-patisserie-et-je-viens-de-poser-ma-demission-quelles-sont-les-consequences-dun-arret-maladie-pendant-la-periode-de-preavis-est-ce-que-je-peux-etre-sanctionnee-en-cas-darret-de-travail","https://www.service-public.fr/particuliers/vosdroits/F1730","https://www.service-public.fr/particuliers/vosdroits/F12598","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000018537778&cidTexte=LEGITEXT000006072050","https://travail-emploi.gouv.fr/droit-du-travail/la-rupture-du-contrat-de-travail/article/le-droit-aux-allocations-chomage-du-salarie-demissionnaire#Quelles-sont-les-demissions-considerees-comme-legitimes","themes/quel-preavis-dois-je-respecter-en-cas-de-demission","https://www.service-public.fr/particuliers/vosdroits/F19693","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000033232120&cidTexte=LEGITEXT000006072050",0,0.3,0.3
"Defaultl","inspection du travail","http://travail-emploi.gouv.fr/droit-du-travail/litiges-individuels-et-conflits-collectifs/article/l-inspection-du-travail#Quels-sont-les-droits-et-obligations-des-agents-de-l-inspection-du-travail-nbsp","","","","","0/1","","","","","","https://travail-emploi.gouv.fr/droit-du-travail/le-reglement-des-conflits-individuels-et-collectifs/article/l-inspection-du-travail#Quels-sont-les-droits-et-obligations-des-agents-de-l-inspection-du-travail-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/le-reglement-des-conflits-individuels-et-collectifs/article/l-inspection-du-travail#Quelles-sont-les-missions","https://travail-emploi.gouv.fr/droit-du-travail/le-reglement-des-conflits-individuels-et-collectifs/article/l-inspection-du-travail#Quels-sont-les-moyens-d-action","themes/prudhommes-inspection-du-travail-procedures","faq/comment-doit-etre-traite-le-refus-dun-salarie-protege-de-se-voir-appliquer-un-apc-le-licenciement-doit-il-faire-lobjet-dune-autorisation-de-linspection-du-travail","https://www.service-public.fr/particuliers/vosdroits/F74","https://travail-emploi.gouv.fr/droit-du-travail/temps-de-travail/article/la-duree-legale-du-travail#Quelles-sont-les-durees-maximales-de-travail","https://travail-emploi.gouv.fr/droit-du-travail/temps-de-travail/article/amenagement-du-temps-de-travail#Quelles-sont-les-obligations-d-information-de-l-employeur","https://www.service-public.fr/particuliers/vosdroits/F107","https://travail-emploi.gouv.fr/droit-du-travail/temps-de-travail/article/la-duree-legale-du-travail#Quels-sont-les-temps-de-travail-comptabilises-dans-la-duree-legale-nbsp","https://www.service-public.fr/particuliers/vosdroits/F1911","https://travail-emploi.gouv.fr/sante-au-travail/statut-des-travailleurs-et-dispositions-particulieres/article/l-interdiction-de-fumer-dans-les-lieux-de-travail#Quelle-sont-les-sanctions","https://www.service-public.fr/professionnels-entreprises/vosdroits/F23261","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-contrat-a-duree-determinee-cdd#Dans-quels-cas-l-employeur-encourt-il-des-sanctions-penales-nbsp","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000028753733&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000032227699&cidTexte=LEGITEXT000006072050","https://www.service-public.fr/particuliers/vosdroits/F2210","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000034422994&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000034422946&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000034424111&cidTexte=LEGITEXT000006072050",0,0,0
"Defaultl","cheque vacances","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006902951&cidTexte=LEGITEXT000006072050","","","","","1/1",7,"","","","","idcc/5578","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-cheque-emploi-service-universel-cesu-declaratif#Quels-avantages-pour-le-salarie","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-cheque-emploi-service-universel-cesu-declaratif#Comment-adherer-au-CESU-et-l-utiliser","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-cheque-emploi-service-universel-cesu-prefinance#Que-peut-on-payer-avec-le-CESU","https://travail-emploi.gouv.fr/droit-du-travail/les-contrats-de-travail/article/le-cheque-emploi-service-universel-cesu-declaratif#Quels-sont-les-avantages-pour-le-particulier-employeur","https://www.service-public.fr/particuliers/vosdroits/F2912","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006902951&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006903181&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000018536701&cidTexte=LEGITEXT000006072050","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000018533284&cidTexte=LEGITEXT000006072050","https://www.service-public.fr/particuliers/vosdroits/F2243","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006904651&cidTexte=LEGITEXT000006072050","https://www.service-public.fr/particuliers/vosdroits/F13851","https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006904667&cidTexte=LEGITEXT000006072050","https://www.service-public.fr/particuliers/vosdroits/F142","https://www.service-public.fr/particuliers/vosdroits/F3030","https://www.service-public.fr/particuliers/vosdroits/F543","https://www.service-public.fr/particuliers/vosdroits/F12344","https://www.service-public.fr/particuliers/vosdroits/F1599","https://www.service-public.fr/particuliers/vosdroits/F3042",0,0.3999999999999999,0.3999999999999999
"Defaultl","contrat de professionnalisation","https://www.service-public.fr/particuliers/vosdroits/F15478","https://www.service-public.fr/particuliers/vosdroits/F31704","http://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quels-contrats-et-conditions-de-travail-du-contrat-de-professionnalisation-nbsp","http://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quelles-demarches-pour-formaliser-un-contrat-de-professionnalisation-nbsp","http://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Un-contrat-de-professionnalisation-pour-qui","2/5",3,13,"","","","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Un-contrat-de-professionnalisation-pour-qui","https://travail-emploi.gouv.fr/actualites/l-actualite-du-ministere/article/5-questions-reponses-sur-le-contrat-pro#Question-5-Comment-trouver-un-contrat-Pro","https://www.service-public.fr/particuliers/vosdroits/F15478","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quelles-demarches-pour-formaliser-un-contrat-de-professionnalisation-nbsp","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quels-contrats-et-conditions-de-travail-du-contrat-de-professionnalisation-nbsp","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quelles-sont-les-obligations-respectives-des-parties-au-contrat-de-nbsp","https://travail-emploi.gouv.fr/actualites/l-actualite-du-ministere/article/5-questions-reponses-sur-le-contrat-pro#Question-4-Quelle-remuneration","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Remuneration","https://travail-emploi.gouv.fr/actualites/l-actualite-du-ministere/article/5-questions-reponses-sur-le-contrat-pro#Question-2-Quelle-est-la-duree-du-contrat","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quelles-sont-les-modalites-de-rupture-du-contrat-de-professionnalisation-et-nbsp","https://travail-emploi.gouv.fr/formation-professionnelle/se-former-en-alternance/le-contrat-de-professionnalisation/article/le-contrat-de-professionnalisation#Quelles-sont-les-aides-a-l-embauche-en-contrat-de-professionnalisation-nbsp","https://travail-emploi.gouv.fr/actualites/l-actualite-du-ministere/article/5-questions-reponses-sur-le-contrat-pro#Question-1-Jusqu-a-quel-age-Pour-quelle-qualification","https://www.service-public.fr/particuliers/vosdroits/F31704","https://www.service-public.fr/particuliers/vosdroits/F34153","https://travail-emploi.gouv.fr/actualites/l-actualite-du-ministere/article/5-questions-reponses-sur-le-contrat-pro#Question-3-Comment-s-organise-la-formation","https://travail-emploi.gouv.fr/emploi/mesures-seniors/article/l-aide-a-l-embauche-d-un-demandeur-d-emploi-de-45-ans-et-plus-en-contrat-de#Quelles-sont-les-formalites-a-accomplir","https://travail-emploi.gouv.fr/emploi/mesures-seniors/article/l-aide-a-l-embauche-d-un-demandeur-d-emploi-de-45-ans-et-plus-en-contrat-de#Quelles-sont-les-conditions-a-remplir","https://travail-emploi.gouv.fr/emploi/mesures-seniors/article/l-aide-a-l-embauche-d-un-demandeur-d-emploi-de-45-ans-et-plus-en-contrat-de#Quel-est-le-montant-de-l-aide-et-quelle-sont-ses-modalites-de-versement-nbsp","https://travail-emploi.gouv.fr/droit-du-travail/la-vie-du-contrat-de-travail/article/contrat-de-travail-les-principales-caracteristiques#Le-contrat-doit-il-etre-ecrit","https://www.service-public.fr/particuliers/vosdroits/F15635",0,0.13999999999999999,0.13999999999999999
